Question 1:  How many singers do we have ? ||| concert_singer
Question 89:  What is the number of continents ? ||| car_1
Question 90:  How many countries does each continent have ? List the continent id , continent name and the number of countries . ||| car_1
Question 91:  For each continent , list its id , name , and how many countries it has ? ||| car_1
Question 92:  How many countries are listed ? ||| car_1
Question 93:  How many countries exist ? ||| car_1
Question 94:  How many models does each car maker produce ? List maker full name , id and the number . ||| car_1
Question 95:  What is the full name of each car maker , along with its id and how many models it produces ? ||| car_1
Question 96:  Which model of the car has the minimum horsepower ? ||| car_1
Question 97:  What is the model of the car with the smallest amount of horsepower ? ||| car_1
Question 98:  Find the model of the car whose weight is below the average weight . ||| car_1
Question 99:  What is the model for the car with a weight smaller than the average ? ||| car_1
Question 100:  Find the name of the makers that produced some cars in the year of 1970 ? ||| car_1
Question 101:  What is the name of the different car makers who produced a car in 1970 ? ||| car_1
Question 102:  Find the make and production time of the cars that were produced in the earliest year ? ||| car_1
Question 103:  What is the maker of the carr produced in the earliest year and what year was it ? ||| car_1
Question 104:  Which distinct car models are the produced after 1980 ? ||| car_1
Question 105:  What are the different models for the cards produced after 1980 ? ||| car_1
Question 106:  How many car makers are there in each continents ? List the continent name and the count . ||| car_1
Question 107:  What is the name of each continent and how many car makers are there in each one ? ||| car_1
Question 108:  Which of the countries has the most car makers ? List the country name . ||| car_1
Question 109:  What is the name of the country with the most car makers ? ||| car_1
Question 110:  How many car models are produced by each maker ? Only list the count and the maker full name . ||| car_1
Question 111:  What is the number of car models that are produced by each maker and what is the id and full name of each maker ? ||| car_1
Question 112:  What is the accelerate of the car make amc hornet sportabout ( sw ) ? ||| car_1
Question 113:  How much does the car accelerate that makes amc hornet sportabout ( sw ) ? ||| car_1
Question 114:  How many car makers are there in france ? ||| car_1
Question 115:  What is the number of makers of care in France ? ||| car_1
Question 116:  How many car models are produced in the usa ? ||| car_1
Question 117:  What is the count of the car models produced in the United States ? ||| car_1
Question 118:  What is the average miles per gallon ( mpg ) of the cars with 4 cylinders ? ||| car_1
Question 119:  What is the average miles per gallon of all the cards with 4 cylinders ? ||| car_1
Question 120:  What is the smallest weight of the car produced with 8 cylinders on 1974 ? ||| car_1
Question 121:  What is the minimum weight of the car with 8 cylinders produced in 1974 ? ||| car_1
Question 122:  What are all the makers and models ? ||| car_1
Question 123:  What are the makers and models ? ||| car_1
Question 124:  What are the countries having at least one car maker ? List name and id . ||| car_1
Question 125:  What are the names and ids of all countries with at least one car maker ? ||| car_1
Question 126:  What is the number of the cars with horsepower more than 150 ? ||| car_1
Question 127:  What is the number of cars with a horsepower greater than 150 ? ||| car_1
Question 128:  What is the average weight of cars each year ? ||| car_1
Question 129:  What is the average weight and year for each year ? ||| car_1
Question 130:  Which countries in europe have at least 3 car manufacturers ? ||| car_1
Question 131:  What are the names of all European countries with at least 3 manufacturers ? ||| car_1
Question 132:  What is the maximum horsepower and the make of the car models with 3 cylinders ? ||| car_1
Question 133:  What is the largest amount of horsepower for the models with 3 cylinders and what make is it ? ||| car_1
Question 134:  Which model saves the most gasoline ? That is to say , have the maximum miles per gallon . ||| car_1
Question 135:  What is the car model with the highest mpg ? ||| car_1
Question 136:  What is the average horsepower of the cars before 1980 ? ||| car_1
Question 137:  What is the average horsepower for all cars produced before 1980 ? ||| car_1
Question 138:  What is the average edispl of the cars of model volvo ? ||| car_1
Question 139:  What is the average edispl for all volvos ? ||| car_1
Question 140:  What is the maximum accelerate for different number of cylinders ? ||| car_1
Question 141:  What is the maximum accelerate for all the different cylinders ? ||| car_1
Question 142:  Which model has the most version ( make ) of cars ? ||| car_1
Question 143:  What model has the most different versions ? ||| car_1
Question 144:  How many cars have more than 4 cylinders ? ||| car_1
Question 145:  What is the number of cars with more than 4 cylinders ? ||| car_1
Question 146:  how many cars were produced in 1980 ? ||| car_1
Question 147:  In 1980 , how many cars were made ? ||| car_1
Question 148:  How many car models were produced by the maker with full name American Motor Company ? ||| car_1
Question 149:  What is the number of car models created by the car maker American Motor Company ? ||| car_1
Question 150:  Which makers designed more than 3 car models ? List full name and the id . ||| car_1
Question 151:  What are the names and ids of all makers with more than 3 models ? ||| car_1
Question 152:  Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500 ? ||| car_1
Question 153:  What are the different models created by either the car maker General Motors or weighed more than 3500 ? ||| car_1
Question 154:  In which years cars were produced weighing no less than 3000 and no more than 4000 ? ||| car_1
Question 155:  What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000 ? ||| car_1
Question 156:  What is the horsepower of the car with the largest accelerate ? ||| car_1
Question 157:  What is the horsepower of the car with the greatest accelerate ? ||| car_1
Question 158:  For model volvo , how many cylinders does the car with the least accelerate have ? ||| car_1
Question 159:  For a volvo model , how many cylinders does the version with least accelerate have ? ||| car_1
Question 160:  How many cars have a larger accelerate than the car with the largest horsepower ? ||| car_1
Question 161:  What is the number of cars with a greater accelerate than the one with the most horsepower ? ||| car_1
Question 162:  How many countries has more than 2 car makers ? ||| car_1
Question 163:  What is the number of countries with more than 2 car makers ? ||| car_1
Question 164:  How many cars has over 6 cylinders ? ||| car_1
Question 165:  What is the number of carsw ith over 6 cylinders ? ||| car_1
Question 166:  For the cars with 4 cylinders , which model has the largest horsepower ? ||| car_1
Question 167:  For all of the 4 cylinder cars , which model has the most horsepower ? ||| car_1
Question 168:  Among the cars with more than lowest horsepower , which ones do not have more than 3 cylinders ? List the car makeid and make name . ||| car_1
Question 169:  Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ? ||| car_1
Question 170:  What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980 ? ||| car_1
Question 171:  What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980 ? ||| car_1
Question 172:  Which models are lighter than 3500 but not built by the 'Ford Motor Company ' ? ||| car_1
Question 173:  What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company ? ||| car_1
Question 174:  What are the name of the countries where there is not a single car maker ? ||| car_1
Question 175:  What are the names of the countries with no car makers ? ||| car_1
Question 176:  Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker . ||| car_1
Question 177:  What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars ? ||| car_1
Question 178:  What are the id and names of the countries which have more than 3 car makers or produce the 'fiat ' model ? ||| car_1
Question 179:  What are the ids and names of all countries that either have more than 3 car makers or produce fiat model ? ||| car_1
Question 180:  Which country does Airline `` JetBlue Airways '' belong to ? ||| flight_2
Question 181:  What country is Jetblue Airways affiliated with ? ||| flight_2
Question 182:  What is the abbreviation of Airline `` JetBlue Airways '' ? ||| flight_2
Question 183:  Which abbreviation corresponds to Jetblue Airways ? ||| flight_2
Question 184:  List all airline names and their abbreviations in `` USA '' . ||| flight_2
Question 185:  What are the airline names and abbreviations for airlines in the USA ? ||| flight_2
Question 186:  List the airport code and name in the city of Anthony . ||| flight_2
Question 187:  Give the airport code and airport name corresonding to the city Anthony . ||| flight_2
Question 188:  How many airlines do we have ? ||| flight_2
Question 189:  What is the total number of airlines ? ||| flight_2
Question 190:  How many airports do we have ? ||| flight_2
Question 191:  Return the number of airports . ||| flight_2
Question 192:  How many flights do we have ? ||| flight_2
Question 193:  Return the number of flights . ||| flight_2
Question 194:  Which airline has abbreviation 'UAL ' ? ||| flight_2
Question 195:  Give the airline with abbreviation 'UAL ' . ||| flight_2
Question 196:  How many airlines are from USA ? ||| flight_2
Question 197:  Return the number of airlines in the USA . ||| flight_2
Question 198:  Which city and country is the Alton airport at ? ||| flight_2
Question 199:  Give the city and country for the Alton airport . ||| flight_2
Question 200:  What is the airport name for airport 'AKO ' ? ||| flight_2
Question 201:  Return the name of the airport with code 'AKO ' . ||| flight_2
Question 202:  What are airport names at City 'Aberdeen ' ? ||| flight_2
Question 203:  What are the names of airports in Aberdeen ? ||| flight_2
Question 204:  How many flights depart from 'APG ' ? ||| flight_2
Question 205:  Count the number of flights departing from 'APG ' . ||| flight_2
Question 206:  How many flights have destination ATO ? ||| flight_2
Question 207:  Count the number of flights into ATO . ||| flight_2
Question 208:  How many flights depart from City Aberdeen ? ||| flight_2
Question 209:  Return the number of flights departing from Aberdeen . ||| flight_2
Question 210:  How many flights arriving in Aberdeen city ? ||| flight_2
Question 211:  Return the number of flights arriving in Aberdeen . ||| flight_2
Question 212:  How many flights depart from City 'Aberdeen ' and have destination City 'Ashley ' ? ||| flight_2
Question 213:  How many flights fly from Aberdeen to Ashley ? ||| flight_2
Question 214:  How many flights does airline 'JetBlue Airways ' have ? ||| flight_2
Question 215:  Give the number of Jetblue Airways flights . ||| flight_2
Question 216:  How many 'United Airlines ' flights go to Airport 'ASY ' ? ||| flight_2
Question 217:  Count the number of United Airlines flights arriving in ASY Airport . ||| flight_2
Question 218:  How many 'United Airlines ' flights depart from Airport 'AHD ' ? ||| flight_2
Question 219:  Return the number of United Airlines flights leaving from AHD Airport . ||| flight_2
Question 220:  How many United Airlines flights go to City 'Aberdeen ' ? ||| flight_2
Question 221:  Count the number of United Airlines flights that arrive in Aberdeen . ||| flight_2
Question 222:  Which city has most number of arriving flights ? ||| flight_2
Question 223:  Which city has the most frequent destination airport ? ||| flight_2
Question 224:  Which city has most number of departing flights ? ||| flight_2
Question 225:  Which city is the most frequent source airport ? ||| flight_2
Question 226:  What is the code of airport that has the highest number of flights ? ||| flight_2
Question 227:  What is the airport code of the airport with the most flights ? ||| flight_2
Question 228:  What is the code of airport that has fewest number of flights ? ||| flight_2
Question 229:  Give the code of the airport with the least flights . ||| flight_2
Question 230:  Which airline has most number of flights ? ||| flight_2
Question 231:  What airline serves the most flights ? ||| flight_2
Question 232:  Find the abbreviation and country of the airline that has fewest number of flights ? ||| flight_2
Question 233:  What is the abbreviation of the airilne has the fewest flights and what country is it in ? ||| flight_2
Question 234:  What are airlines that have some flight departing from airport 'AHD ' ? ||| flight_2
Question 235:  Which airlines have a flight with source airport AHD ? ||| flight_2
Question 236:  What are airlines that have flights arriving at airport 'AHD ' ? ||| flight_2
Question 237:  Which airlines have a flight with destination airport AHD ? ||| flight_2
Question 238:  Find all airlines that have flights from both airports 'APG ' and 'CVO ' . ||| flight_2
Question 239:  Which airlines have departing flights from both APG and CVO airports ? ||| flight_2
Question 240:  Find all airlines that have flights from airport 'CVO ' but not from 'APG ' . ||| flight_2
Question 241:  Which airlines have departures from CVO but not from APG airports ? ||| flight_2
Question 242:  Find all airlines that have at least 10 flights . ||| flight_2
Question 243:  Which airlines have at least 10 flights ? ||| flight_2
Question 244:  Find all airlines that have fewer than 200 flights . ||| flight_2
Question 245:  Which airlines have less than 200 flights ? ||| flight_2
Question 246:  What are flight numbers of Airline `` United Airlines '' ? ||| flight_2
Question 247:  Which flight numbers correspond to United Airlines flights ? ||| flight_2
Question 248:  What are flight numbers of flights departing from Airport `` APG '' ? ||| flight_2
Question 249:  Give the flight numbers of flights leaving from APG . ||| flight_2
Question 250:  What are flight numbers of flights arriving at Airport `` APG '' ? ||| flight_2
Question 251:  Give the flight numbers of flights landing at APG . ||| flight_2
Question 252:  What are flight numbers of flights departing from City `` Aberdeen `` ? ||| flight_2
Question 253:  Give the flight numbers of flights leaving from Aberdeen . ||| flight_2
Question 254:  What are flight numbers of flights arriving at City `` Aberdeen '' ? ||| flight_2
Question 255:  Give the flight numbers of flights arriving in Aberdeen . ||| flight_2
Question 256:  Find the number of flights landing in the city of Aberdeen or Abilene . ||| flight_2
Question 257:  How many flights land in Aberdeen or Abilene ? ||| flight_2
Question 258:  Find the name of airports which do not have any flight in and out . ||| flight_2
Question 259:  Which airports do not have departing or arriving flights ? ||| flight_2
Question 260:  How many employees are there ? ||| employee_hire_evaluation
Question 261:  Count the number of employees ||| employee_hire_evaluation
Question 262:  Sort employee names by their age in ascending order . ||| employee_hire_evaluation
Question 263:  List the names of employees and sort in ascending order of age . ||| employee_hire_evaluation
Question 264:  What is the number of employees from each city ? ||| employee_hire_evaluation
Question 265:  Count the number of employees for each city . ||| employee_hire_evaluation
Question 266:  Which cities do more than one employee under age 30 come from ? ||| employee_hire_evaluation
Question 267:  Find the cities that have more than one employee under age 30 . ||| employee_hire_evaluation
Question 268:  Find the number of shops in each location . ||| employee_hire_evaluation
Question 269:  How many shops are there in each location ? ||| employee_hire_evaluation
Question 270:  Find the manager name and district of the shop whose number of products is the largest . ||| employee_hire_evaluation
Question 271:  What are the manager name and district of the shop that sells the largest number of products ? ||| employee_hire_evaluation
Question 272:  find the minimum and maximum number of products of all stores . ||| employee_hire_evaluation
Question 273:  What are the minimum and maximum number of products across all the shops ? ||| employee_hire_evaluation
Question 274:  Return the name , location and district of all shops in descending order of number of products . ||| employee_hire_evaluation
Question 275:  Sort all the shops by number products in descending order , and return the name , location and district of each shop . ||| employee_hire_evaluation
Question 276:  Find the names of stores whose number products is more than the average number of products . ||| employee_hire_evaluation
Question 277:  Which shops ' number products is above the average ? Give me the shop names . ||| employee_hire_evaluation
Question 278:  find the name of employee who was awarded the most times in the evaluation . ||| employee_hire_evaluation
Question 279:  Which employee received the most awards in evaluations ? Give me the employee name . ||| employee_hire_evaluation
Question 280:  Find the name of the employee who got the highest one time bonus . ||| employee_hire_evaluation
Question 281:  Which employee received the biggest bonus ? Give me the employee name . ||| employee_hire_evaluation
Question 282:  Find the names of employees who never won any award in the evaluation . ||| employee_hire_evaluation
Question 283:  What are the names of the employees who never received any evaluation ? ||| employee_hire_evaluation
Question 284:  What is the name of the shop that is hiring the largest number of employees ? ||| employee_hire_evaluation
Question 285:  Which shop has the most employees ? Give me the shop name . ||| employee_hire_evaluation
Question 286:  Find the name of the shops that do not hire any employee . ||| employee_hire_evaluation
Question 287:  Which shops run with no employees ? Find the shop names ||| employee_hire_evaluation
Question 288:  Find the number of employees hired in each shop ; show the shop name as well . ||| employee_hire_evaluation
Question 289:  For each shop , return the number of employees working there and the name of the shop . ||| employee_hire_evaluation
Question 290:  What is total bonus given in all evaluations ? ||| employee_hire_evaluation
Question 291:  Find the total amount of bonus given in all the evaluations . ||| employee_hire_evaluation
Question 292:  Give me all the information about hiring . ||| employee_hire_evaluation
Question 293:  What is all the information about hiring ? ||| employee_hire_evaluation
Question 294:  Which district has both stores with less than 3000 products and stores with more than 10000 products ? ||| employee_hire_evaluation
Question 295:  Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products . ||| employee_hire_evaluation
Question 296:  How many different store locations are there ? ||| employee_hire_evaluation
Question 297:  Count the number of distinct store locations . ||| employee_hire_evaluation
Question 298:  How many documents do we have ? ||| cre_Doc_Template_Mgt
Question 299:  Count the number of documents . ||| cre_Doc_Template_Mgt
Question 300:  List document IDs , document names , and document descriptions for all documents . ||| cre_Doc_Template_Mgt
Question 301:  What are the ids , names , and descriptions for all documents ? ||| cre_Doc_Template_Mgt
Question 302:  What is the document name and template id for document with description with the letter 'w ' in it ? ||| cre_Doc_Template_Mgt
Question 303:  Return the names and template ids for documents that contain the letter w in their description . ||| cre_Doc_Template_Mgt
Question 304:  What is the document id , template id and description for document named `` Robbin CV '' ? ||| cre_Doc_Template_Mgt
Question 305:  Return the document id , template id , and description for the document with the name Robbin CV . ||| cre_Doc_Template_Mgt
Question 306:  How many different templates do all document use ? ||| cre_Doc_Template_Mgt
Question 307:  Count the number of different templates used for documents . ||| cre_Doc_Template_Mgt
Question 308:  How many documents are using the template with type code 'PPT ' ? ||| cre_Doc_Template_Mgt
Question 309:  Count the number of documents that use the PPT template type . ||| cre_Doc_Template_Mgt
Question 310:  Show all template ids and number of documents using each template . ||| cre_Doc_Template_Mgt
Question 311:  What are all different template ids used for documents , and how many times were each of them used ? ||| cre_Doc_Template_Mgt
Question 312:  What is the id and type code for the template used by the most documents ? ||| cre_Doc_Template_Mgt
Question 313:  Return the id and type code of the template that is used for the greatest number of documents . ||| cre_Doc_Template_Mgt
Question 314:  Show ids for all templates that are used by more than one document . ||| cre_Doc_Template_Mgt
Question 315:  What are the template ids of any templates used in more than a single document ? ||| cre_Doc_Template_Mgt
Question 316:  Show ids for all templates not used by any document . ||| cre_Doc_Template_Mgt
Question 317:  What are the ids for templates that are not used in any documents ? ||| cre_Doc_Template_Mgt
Question 318:  How many templates do we have ? ||| cre_Doc_Template_Mgt
Question 319:  Count the number of templates . ||| cre_Doc_Template_Mgt
Question 320:  Show template ids , version numbers , and template type codes for all templates . ||| cre_Doc_Template_Mgt
Question 321:  What are the ids , version numbers , and type codes for each template ? ||| cre_Doc_Template_Mgt
Question 322:  Show all distinct template type codes for all templates . ||| cre_Doc_Template_Mgt
Question 323:  What are the different template type codes ? ||| cre_Doc_Template_Mgt
Question 324:  What are the ids of templates with template type code PP or PPT ? ||| cre_Doc_Template_Mgt
Question 325:  Return the ids of templates that have the code PP or PPT . ||| cre_Doc_Template_Mgt
Question 326:  How many templates have template type code CV ? ||| cre_Doc_Template_Mgt
Question 327:  Count the number of templates of the type CV . ||| cre_Doc_Template_Mgt
Question 328:  What is the version number and template type code for the template with version number later than 5 ? ||| cre_Doc_Template_Mgt
Question 329:  Return the version numbers and template type codes of templates with a version number greater than 5 . ||| cre_Doc_Template_Mgt
Question 330:  Show all template type codes and number of templates for each . ||| cre_Doc_Template_Mgt
Question 331:  What are the different template type codes , and how many templates correspond to each ? ||| cre_Doc_Template_Mgt
Question 332:  Which template type code has most number of templates ? ||| cre_Doc_Template_Mgt
Question 333:  Return the type code of the template type that the most templates belong to . ||| cre_Doc_Template_Mgt
Question 334:  Show all template type codes with less than three templates . ||| cre_Doc_Template_Mgt
Question 335:  What are the codes of template types that have fewer than 3 templates ? ||| cre_Doc_Template_Mgt
Question 336:  What the smallest version number and its template type code ? ||| cre_Doc_Template_Mgt
Question 337:  Return the lowest version number , along with its corresponding template type code . ||| cre_Doc_Template_Mgt
Question 338:  What is the template type code of the template used by document with the name `` Data base '' ? ||| cre_Doc_Template_Mgt
Question 339:  Return the template type code of the template that is used by a document named Data base . ||| cre_Doc_Template_Mgt
Question 340:  Show all document names using templates with template type code BK . ||| cre_Doc_Template_Mgt
Question 341:  What are the names of documents that use templates with the code BK ? ||| cre_Doc_Template_Mgt
Question 342:  Show all template type codes and the number of documents using each type . ||| cre_Doc_Template_Mgt
Question 343:  What are the different template type codes , and how many documents use each type ? ||| cre_Doc_Template_Mgt
Question 344:  Which template type code is used by most number of documents ? ||| cre_Doc_Template_Mgt
Question 345:  Return the code of the template type that is most commonly used in documents . ||| cre_Doc_Template_Mgt
Question 346:  Show all template type codes that are not used by any document . ||| cre_Doc_Template_Mgt
Question 347:  What are the codes of template types that are not used for any document ? ||| cre_Doc_Template_Mgt
Question 348:  Show all template type codes and descriptions . ||| cre_Doc_Template_Mgt
Question 349:  What are the type codes and descriptions for all template types ? ||| cre_Doc_Template_Mgt
Question 350:  What is the template type descriptions for template type code `` AD '' . ||| cre_Doc_Template_Mgt
Question 351:  Return the template type description of the template type with the code AD . ||| cre_Doc_Template_Mgt
Question 352:  What is the template type code for template type description `` Book '' . ||| cre_Doc_Template_Mgt
Question 353:  Return the type code of the template type with the description `` Book '' . ||| cre_Doc_Template_Mgt
Question 354:  What are the distinct template type descriptions for the templates ever used by any document ? ||| cre_Doc_Template_Mgt
Question 355:  Return the different descriptions for templates that have been used in a document . ||| cre_Doc_Template_Mgt
Question 356:  What are the template ids with template type description `` Presentation '' . ||| cre_Doc_Template_Mgt
Question 357:  Return the ids corresponding to templates with the description 'Presentation ' . ||| cre_Doc_Template_Mgt
Question 358:  How many paragraphs in total ? ||| cre_Doc_Template_Mgt
Question 359:  Count the number of paragraphs . ||| cre_Doc_Template_Mgt
Question 360:  How many paragraphs for the document with name 'Summer Show ' ? ||| cre_Doc_Template_Mgt
Question 361:  Count the number of paragraphs in the document named 'Summer Show ' . ||| cre_Doc_Template_Mgt
Question 362:  Show paragraph details for paragraph with text 'Korea ' . ||| cre_Doc_Template_Mgt
Question 363:  What are the details for the paragraph that includes the text 'Korea ' ? ||| cre_Doc_Template_Mgt
Question 364:  Show all paragraph ids and texts for the document with name 'Welcome to NY ' . ||| cre_Doc_Template_Mgt
Question 365:  What are the ids and texts of paragraphs in the document titled 'Welcome to NY ' ? ||| cre_Doc_Template_Mgt
Question 366:  Show all paragraph texts for the document `` Customer reviews '' . ||| cre_Doc_Template_Mgt
Question 367:  What are the paragraph texts for the document with the name 'Customer reviews ' ? ||| cre_Doc_Template_Mgt
Question 368:  Show all document ids and the number of paragraphs in each document . Order by document id . ||| cre_Doc_Template_Mgt
Question 369:  Return the different document ids along with the number of paragraphs corresponding to each , ordered by id . ||| cre_Doc_Template_Mgt
Question 370:  Show all document ids , names and the number of paragraphs in each document . ||| cre_Doc_Template_Mgt
Question 371:  What are the ids and names of each document , as well as the number of paragraphs in each ? ||| cre_Doc_Template_Mgt
Question 372:  List all document ids with at least two paragraphs . ||| cre_Doc_Template_Mgt
Question 373:  What are the ids of documents that have 2 or more paragraphs ? ||| cre_Doc_Template_Mgt
Question 374:  What is the document id and name with greatest number of paragraphs ? ||| cre_Doc_Template_Mgt
Question 375:  Return the id and name of the document with the most paragraphs . ||| cre_Doc_Template_Mgt
Question 376:  What is the document id with least number of paragraphs ? ||| cre_Doc_Template_Mgt
Question 377:  Return the id of the document with the fewest paragraphs . ||| cre_Doc_Template_Mgt
Question 378:  What is the document id with 1 to 2 paragraphs ? ||| cre_Doc_Template_Mgt
Question 379:  Give the ids of documents that have between one and two paragraphs . ||| cre_Doc_Template_Mgt
Question 380:  Show the document id with paragraph text 'Brazil ' and 'Ireland ' . ||| cre_Doc_Template_Mgt
Question 381:  What are the ids of documents that contain the paragraph text 'Brazil ' and 'Ireland ' ? ||| cre_Doc_Template_Mgt
Question 382:  How many teachers are there ? ||| course_teach
Question 383:  What is the total count of teachers ? ||| course_teach
Question 384:  List the names of teachers in ascending order of age . ||| course_teach
